miasto,numer_pocztowy,ulica,numer_domu
Elbląg,82-300,Fromborska,19
Płock,09-400,Targowa,8
Opole,45-001,Nysy Łużyckiej,4
Wałbrzych,58-300,Niepodległości,15
Zielona Góra,65-001,Dąbrówki,6
Tarnów,33-100,Mościckiego,55
Chorzów,41-500,Stefada Batorego,10
Koszalin,75-001,Fałata,7
Legnica,59-220,Wrocławska,120
Grudziądz,86-300,Kalinkowa,5
Słupsk,76-200,Hubalczyków,9
Jaworzno,43-600,Dąbrowskiego,16
Jastrzębie-Zdrój,44-330,Wielkopolska,33
Jelenia Góra,58-500,Złotnicza,2
Nowy Sącz,33-300,Zielona,11
Konin,62-500,Zakładowa,4
Piotrków Trybunalski,97-300,Wolborska,15
Inowrocław,88-100,Solankowa,8
Lubin,59-300,Legnicka,12
Mysłowice,41-400,Górnicza,4
Siedlce,08-110,Starowiejska,20
Ostrowiec Świętokrzyski,27-400,Sandomierska,5
Gniezno,62-200,Poznańska,100
Stargard,73-110,Kościuszki,9
Siemianowice Śląskie,41-100,Wiejska,12
Suwałki,16-400,Sejneńska,33
Głogów,67-200,Sikorskiego,50
Leszno,64-100,17 Stycznia,8
Pabianice,95-200,Wiejska,5
Zamość,22-400,Szczebrzeska,12
Chełm,22-100,Okszowska,7
Tomaszów Mazowiecki,97-200,Spalska,2
Stalowa Wola,37-450,Solidarności,10
Przemyśl,37-700,Grunwaldzka,15
Kędzierzyn-Koźle,47-200,Wyspa,3
Łomża,18-400,Poznańska,11
Żory,44-350,Rybnicka,22
Bełchatów,97-400,Czyżewskiego,6
Mielec,39-300,Legionów,9
Tarnowskie Góry,42-600,Częstochowska,4
Tczew,83-110,Malinowska,8
Ełk,19-300,Suwalska,15
Pruszków,05-800,3 Maja,100
Warszawa,04-700,Czołowa,3
Kraków,30-222,Królowej Jadwigi,200
Łódź,90-001,Sienkiewicza,99
Wrocław,50-100,Oławska,2
Poznań,61-800,Św. Marcin,50
Gdańsk,80-100,Długie Ogrody,12
Szczecin,71-500,Duńska,8
Bydgoszcz,85-100,Śniadeckich,5
Lublin,20-100,Narutowicza,55
Białystok,15-100,Lipowa,30
Katowice,40-001,Wita Stwosza,9
Gdynia,81-300,Świętojańska,90
Częstochowa,42-200,Nowowiejskiego,12
Radom,26-600,Moniuszki,4
Sosnowiec,41-200,Modrzejowska,15
Toruń,87-100,Kr. Jadwigi,7
Kielce,25-300,Wesoła,19
Rzeszów,35-001,3 Maja,22
Gliwice,44-100,Zwycięstwa,40
Zabrze,41-800,Powstańców Śląskich,8
Olsztyn,10-100,Prosta,11
Bielsko-Biała,43-300,11 Listopada,50
Bytom,41-900,Dworcowa,15
Ruda Śląska,41-700,Plac Jana Pawła II,1
Rybnik,44-200,Sobieskiego,18
Tychy,43-100,Biblioteczna,3
Gorzów Wielkopolski,66-400,Sikorskiego,44
Elbląg,82-300,1 Maja,12
Płock,09-400,Tumska,15
Opole,45-001,Krakowska,35
Wałbrzych,58-300,Słowackiego,9
Zielona Góra,65-001,Jedności,5
Tarnów,33-100,Wałowa,8
Chorzów,41-500,Jagiellońska,12
Koszalin,75-001,Zwycięstwa,50
Legnica,59-220,Najświętszej Marii Panny,15
Grudziądz,86-300,Mickiewicza,20
Słupsk,76-200,Wojska Polskiego,55
Jaworzno,43-600,Mickiewicza,8
Jastrzębie-Zdrój,44-330,1 Maja,4
Jelenia Góra,58-500,Konopnickiej,19
Nowy Sącz,33-300,Lwowska,99
Konin,62-500,Dworcowa,22
Piotrków Trybunalski,97-300,Słowackiego,11
Inowrocław,88-100,Królowej Jadwigi,33
Lubin,59-300,Odrodzenia,7
Mysłowice,41-400,Pszczyńska,10
Siedlce,08-110,Piłsudskiego,50
Ostrowiec Świętokrzyski,27-400,Iłżecka,22
Gniezno,62-200,Chrobrego,15
Stargard,73-110,Piłsudskiego,44
Siemianowice Śląskie,41-100,Świerczewskiego,19
Suwałki,16-400,Kościuszki,90
Głogów,67-200,Gwiaździsta,5
Leszno,64-100,Wolności,12
Pabianice,95-200,Zamkowa,8
Zamość,22-400,Piłsudskiego,33
Chełm,22-100,Lubelska,50
Tomaszów Mazowiecki,97-200,św. Antoniego,14
Stalowa Wola,37-450,Jana Pawła II,5
Przemyśl,37-700,Franciszkańska,11
Kędzierzyn-Koźle,47-200,Wojska Polskiego,40
Łomża,18-400,Wojska Polskiego,88
Żory,44-350,Kościuszki,15
Bełchatów,97-400,Kościuszki,29
Mielec,39-300,Mickiewicza,7
Tarnowskie Góry,42-600,Krakowska,18
Tczew,83-110,Gdańska,22
Ełk,19-300,Wojska Polskiego,200
Pruszków,05-800,Wojska Polskiego,55
Warszawa,01-494,Wrocławska,5
Kraków,30-059,Reymonta,15
Łódź,90-001,Piotrkowska,200
Wrocław,50-370,Curie-Skłodowskiej,12
Poznań,61-680,Umultowska,8
Gdańsk,80-320,Oliwska,4
Szczecin,71-004,Cukrowa,9
Bydgoszcz,85-739,Fordońska,111
Lublin,20-718,Kraśnicka,55
Białystok,15-399,Transportowa,3
Katowice,40-163,Korfantego,99
Gdynia,81-225,Morska,200
Częstochowa,42-200,Jasnogórska,33
Radom,26-600,Malczewskiego,7
Sosnowiec,41-200,3 Maja,44
Toruń,87-100,Szeroka,15
Kielce,25-001,Sienkiewicza,60
Rzeszów,35-001,Kościuszki,19
Gliwice,44-100,Zwycięstwa,5
Zabrze,41-800,Wolności,300
Olsztyn,10-001,Pieniężnego,9
Bielsko-Biała,43-300,Cieszyńska,55
Bytom,41-900,Krakowska,12
Ruda Śląska,41-700,1 Maja,50
Rybnik,44-200,Chrobrego,22
Tychy,43-100,Bielska,8
Gorzów Wielkopolski,66-400,Chrobrego,9
Elbląg,82-300,Stary Rynek,11
Płock,09-400,Grodzka,4
Opole,45-001,Ozimska,15
Wałbrzych,58-300,Główna,8
Zielona Góra,65-001,Westerplatte,33
Tarnów,33-100,Krakowska,40
Chorzów,41-500,Wolności,22
Koszalin,75-001,Zwycięstwa,90
Legnica,59-220,Złotoryjska,55
Grudziądz,86-300,Pańska,8
Słupsk,76-200,Sienkiewicza,12
Jaworzno,43-600,Grunwaldzka,50
Jastrzębie-Zdrój,44-330,Mazowiecka,2
Jelenia Góra,58-500,Sudecka,9
Nowy Sącz,33-300,Jagiellońska,15
Konin,62-500,Przemysłowa,88
Piotrków Trybunalski,97-300,Łódzka,4
Inowrocław,88-100,Poznańska,19
Lubin,59-300,Ścinawska,5
Mysłowice,41-400,Mikołowska,22
Siedlce,08-110,Warszawska,101
Ostrowiec Świętokrzyski,27-400,Siennieńska,7
Gniezno,62-200,Witkowska,12
Stargard,73-110,Szczecińska,5
Siemianowice Śląskie,41-100,Bytkowska,9
Suwałki,16-400,Noniewicza,3
Głogów,67-200,Wojska Polskiego,22
Leszno,64-100,Lipowa,15
Pabianice,95-200,Partyzancka,30
Zamość,22-400,Lwowska,8
Chełm,22-100,Rejowiecka,11
Tomaszów Mazowiecki,97-200,Graniczna,6
Stalowa Wola,37-450,Staszica,15
Przemyśl,37-700,Słowackiego,9
Kędzierzyn-Koźle,47-200,Kozielska,50
Łomża,18-400,Szosa Zambrowska,12
Żory,44-350,Wodzisławska,3
Bełchatów,97-400,Lipowa,9
Mielec,39-300,Sienkiewicza,44
Tarnowskie Góry,42-600,Zagórska,5
Tczew,83-110,Jagiellońska,19
Ełk,19-300,Kilińskiego,2
Pruszków,05-800,Kraszewskiego,7
Warszawa,00-001,Marszałkowska,150
Kraków,30-001,Grodzka,10
Łódź,90-001,Narutowicza,100
Wrocław,50-100,Ruska,33
Poznań,61-700,Niepodległości,12
Gdańsk,80-800,Piwna,8
Szczecin,70-400,Wyzwolenia,22
Bydgoszcz,85-001,Jagiellońska,50
Lublin,20-001,Krakowskie Przedmieście,10
Białystok,15-001,Sienkiewicza,15
Katowice,40-001,Chorzowska,150
Gdynia,81-001,Władysława IV,25
Częstochowa,42-200,Dąbrowskiego,55
Radom,26-600,Żeromskiego,88
Sosnowiec,41-200,Piłsudskiego,4
Toruń,87-100,Mickiewicza,12
Kielce,25-001,Warszawska,5
Rzeszów,35-001,Piłsudskiego,20
Gliwice,44-100,Pszczyńska,100
Zabrze,41-800,Roosevelta,5
Olsztyn,10-001,Kościuszki,99
Bielsko-Biała,43-300,Partyzantów,15
Bytom,41-900,Jagiellońska,3
Ruda Śląska,41-700,Kłodnicka,9
Rybnik,44-200,Raciborska,18
Tychy,43-100,Niepodległości,50
Gorzów Wielkopolski,66-400,Warszawska,22
Elbląg,82-300,Grunwaldzka,150
Płock,09-400,Wyszogrodzka,22
Opole,45-001,Wrocławska,12
